content_type,title,release_year,genres,imdb_rating,runtime,age_rating,production_country,streaming_service,url
movie,Haq(2025),,Not Available,,Not Available,Not Available,Not Available,"120 Bahadur, 28 Years Later: The Bone Temple, 4K Fireplace, 7 Prisoners, A Thursday, Aatma",https://www.justwatch.com/in/movie/haq-2025
movie,Now & Later(2009),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, 9-1-1, A Separation, Adrian Quiñonez, Aleksandr's Price, Anthony",https://www.justwatch.com/in/movie/now-and-later
movie,Sentimental Value(2025),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, A Christmas Carol, A Different Man, Amalie Ibsen Jensen, Anders Danielsen Lie, Andreas Stoltenberg Granerud",https://www.justwatch.com/in/movie/sentimental-value
movie,K.G.F: Chapter 2(2022),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, 777 Charlie, 7:11 PM, A Throw of Dice, Achyuth Kumar, Ahimsa",https://www.justwatch.com/in/movie/k-g-f-chapter-2
movie,Now You See Me: Now You Don't(2025),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, 30 Minutes or Less, 706, A Big Bold Beautiful Journey, A Man Called Ove, Abnormality",https://www.justwatch.com/in/movie/now-you-see-me-3
movie,Bhartha Mahasayulaku Wignyapathi(2026),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, 53 Sundays, 7:11 PM, Aadavaallu Meeku Johaarlu, Adai Mazhai Kaalam, Ajay Ghosh",https://www.justwatch.com/in/movie/untitled-ravi-teja-slv-cinemas-project
movie,Crime 101(2026),,Not Available,,Not Available,Not Available,Not Available,"""Wuthering Heights"", 12 Strong, 28 Years Later: The Bone Temple, A Perfect Getaway, A Simple Plan, American Animals",https://www.justwatch.com/in/movie/crime-101
movie,Redux Redux(2026),,Not Available,,Not Available,Not Available,Not Available,"13 Cameras, 28 Years Later: The Bone Temple, 35-Chinna Katha Kaadu, Alien Invasion, Amazon Prime Video, Amazon Prime Video with Ads",https://www.justwatch.com/in/movie/redux-redux
movie,Tell Me What You Want(2024),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, 365 dni, A Good Lawyer's Wife, Adriana Fornés, After We Collided, Against All Odds",https://www.justwatch.com/in/movie/pideme-lo-que-quieras
movie,De De Pyaar De 2(2025),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later, 28 Years Later: The Bone Temple, 36 Farmhouse, 53 Sundays, Ajay Devgn, Andakagasam",https://www.justwatch.com/in/movie/de-de-pyaar-de-2
movie,Eternity(2025),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, 2gether: The Movie, A Big Bold Beautiful Journey, A Date with Miss Fortune, About Time, After the Hunt",https://www.justwatch.com/in/movie/eternity-0
movie,The Rip(2026),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later, 28 Years Later: The Bone Temple, Alex Hernandez, Andhera, Angel Rosario Jr., Apple TV",https://www.justwatch.com/in/movie/rip-0
movie,Chhaava(2025),,Not Available,,Not Available,Not Available,Not Available,"120 Bahadur, 28 Years Later: The Bone Temple, Akshaye Khanna, Almost Pyaar with DJ Mohabbat, Angelique, Anil George",https://www.justwatch.com/in/movie/chaava
movie,Me Before You(2016),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, About Time, Above Suspicion, Alan Breck, Amazon Prime Video, Amazon Prime Video with Ads",https://www.justwatch.com/in/movie/me-before-you
movie,Laalo: Krishna Sada Sahaayate(2025),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, 4K Fireplace, 7:11 PM, Aaryan, Akhanda 2: Thaandavam, Alyad Palyad",https://www.justwatch.com/in/movie/laalo-krishna-sada-sahaayate
movie,Sisu: Road to Revenge(2025),,Not Available,,Not Available,Not Available,Not Available,"Act of Valor, Aleksandr Okunev, Amazon Video, Apple TV, Apple TV Store, Avatar: Fire and Ash",https://www.justwatch.com/in/movie/sisu-2
movie,Before the Dawn(2019),,Not Available,,Not Available,Not Available,Not Available,"12 Steps to Recovery, 28 Years Later: The Bone Temple, Alana de Freitas, All Hallows' Eve 2, Amor Comprado, Anthony",https://www.justwatch.com/in/movie/before-the-dawn
